mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3.1781793435414634,0.018633776983402375,0.2625182469685872,0.009418798664189975,0.8,0.1,5,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.8960083878494322,0.9157227874832021,0.9026832257778696,0.9048048003701679,0.00818698956853746,28
6.515159289042155,0.0835132428408544,0.4392731189727783,0.020079640113344156,0.8,0.1,5,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.9674380140880429,0.9705243882629178,0.9611618943544457,0.9663747655684688,0.0038954628400509482,15
6.437147855758667,0.29299980058250946,0.42525672912597656,0.06926894103964232,0.8,0.1,5,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.9657397699248342,0.9663156962062702,0.962830603836555,0.9649620233225532,0.0015253708924676931,16
4.936429977416992,0.20547393235941064,0.34704915682474774,0.061576646778253766,0.8,0.1,7,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.970184739430276,0.9751317985144056,0.9787645642896171,0.9746937007447664,0.0035163708465844826,13
4.644346475601196,0.19178305141863886,0.27538498242696124,0.01674748097032603,0.8,0.1,7,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.9796358373820458,0.9693577683594962,0.9752204025577034,0.9747380027664151,0.0042098462265701235,12
8.419386466344198,0.4450387154067929,0.6701134045918783,0.13886868470487657,0.8,0.1,7,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.9956288671973065,0.9935319048392575,0.9905489020482301,0.9932365580282646,0.0020843758111291355,3
7.788593451182048,0.8550543034829347,0.6771442890167236,0.13799364455240093,0.8,0.1,7,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.9957174712406043,0.99342853345541,0.9881270581980891,0.9924243542980346,0.003179085232586753,4
2.731302817662557,0.12023168338465642,0.15112781524658203,0.01705992905513978,1.0,0.05,3,100,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.7543157552756324,0.7563093462498338,0.7608281524580238,0.7571510846611634,0.0027244842851611986,45
2.7721030712127686,0.25562760085955966,0.15029120445251465,0.025432212944622796,1.0,0.05,3,100,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.7540647104862885,0.754330522616182,0.7554971425196036,0.7546307918740247,0.0006221396429103184,46
4.79463545481364,0.17785193895773885,0.2391637166341146,0.03229793276508873,1.0,0.05,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.7868629738470398,0.7940989707163637,0.7991198665032414,0.7933606036888817,0.005031020028905101,40
4.7414008776346845,0.3189078031140171,0.27529430389404297,0.025975373823904878,1.0,0.05,3,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.7815319639086197,0.7924302612342543,0.7979237119187206,0.7906286456871982,0.006812083119536318,44
